tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,churn
37,88.79,3474.85,Two year,Electronic check,No,0,0
48,73.22,3596.43,One year,Mailed check,Fiber optic,0,0
22,129.67,2613.13,Two year,Electronic check,Fiber optic,2,0
69,42.5,2693.24,Month-to-month,Bank transfer,Fiber optic,0,0
38,67.43,2658.46,Month-to-month,Mailed check,Fiber optic,3,0
20,114.96,2056.96,One year,Credit card,Fiber optic,2,1
70,99.78,6944.33,Month-to-month,Mailed check,Fiber optic,0,0
67,52.59,3578.59,Month-to-month,Mailed check,Fiber optic,1,0
36,75.6,2516.8,Two year,Credit card,Fiber optic,0,0
1,70.05,0.0,One year,Bank transfer,DSL,3,1
43,77.05,3296.16,One year,Electronic check,DSL,3,0
40,52.53,2191.98,Month-to-month,Mailed check,Fiber optic,1,1
10,67.77,868.74,One year,Mailed check,Fiber optic,3,1
46,30.05,1491.51,Month-to-month,Bank transfer,Fiber optic,2,0
61,73.38,4489.32,Two year,Bank transfer,Fiber optic,0,0
7,81.25,434.44,Month-to-month,Bank transfer,Fiber optic,3,0
52,64.31,3151.59,Month-to-month,Credit card,Fiber optic,1,1
10,29.62,204.28,Month-to-month,Bank transfer,Fiber optic,0,1
54,94.71,5188.31,One year,Mailed check,No,0,0
30,79.11,2433.99,Two year,Electronic check,DSL,0,0
0,51.85,0.0,Two year,Bank transfer,Fiber optic,1,1
70,62.98,4267.53,One year,Mailed check,DSL,0,0
12,32.48,606.61,Two year,Mailed check,Fiber optic,1,0
43,44.36,1921.94,One year,Credit card,Fiber optic,1,0
13,56.55,480.15,Month-to-month,Credit card,Fiber optic,0,1
68,100.71,7272.36,One year,Mailed check,Fiber optic,1,0
53,54.01,2857.45,Month-to-month,Bank transfer,Fiber optic,0,0
58,86.01,5057.49,Month-to-month,Credit card,DSL,0,0
31,56.54,1824.72,Month-to-month,Electronic check,Fiber optic,1,0
34,76.2,2524.59,Month-to-month,Mailed check,DSL,1,0
46,66.47,2926.43,Two year,Bank transfer,No,0,0
57,91.83,5616.01,Two year,Mailed check,Fiber optic,2,0
61,56.63,3634.99,Month-to-month,Credit card,Fiber optic,1,0
1,30.69,178.64,One year,Mailed check,No,1,0
48,35.45,1805.39,Month-to-month,Electronic check,Fiber optic,2,1
7,56.7,216.32,Month-to-month,Mailed check,Fiber optic,0,1
21,38.77,1044.2,Month-to-month,Mailed check,DSL,2,0
60,80.26,4663.55,Month-to-month,Credit card,Fiber optic,1,0
18,58.36,1101.4,Month-to-month,Electronic check,No,1,0
58,129.37,7208.09,Month-to-month,Electronic check,No,1,0
33,26.56,509.03,Month-to-month,Electronic check,Fiber optic,1,0
16,75.09,1258.75,Month-to-month,Bank transfer,DSL,4,1
24,41.8,857.59,Two year,Credit card,DSL,1,0
38,57.66,1833.22,Month-to-month,Bank transfer,No,2,0
55,73.54,4141.76,Month-to-month,Credit card,DSL,3,0
44,18.0,1173.61,Month-to-month,Credit card,Fiber optic,1,0
68,75.92,5412.73,Month-to-month,Bank transfer,Fiber optic,3,0
63,117.57,7360.76,Month-to-month,Bank transfer,DSL,3,0
54,58.66,3169.45,Month-to-month,Electronic check,Fiber optic,2,1
44,76.5,3525.58,One year,Credit card,No,2,0
21,95.62,2210.07,One year,Credit card,Fiber optic,1,1
30,65.9,1915.2,One year,Credit card,Fiber optic,2,0
8,55.48,449.96,One year,Credit card,Fiber optic,1,0
27,18.0,540.11,Month-to-month,Mailed check,No,1,0
67,86.02,5863.36,Month-to-month,Electronic check,Fiber optic,1,1
31,67.17,2058.34,Month-to-month,Credit card,Fiber optic,1,0
8,44.68,335.85,Month-to-month,Mailed check,Fiber optic,2,1
47,73.16,3687.12,Month-to-month,Credit card,DSL,1,0
70,55.41,4096.27,Month-to-month,Bank transfer,DSL,2,0
63,56.79,3663.66,One year,Mailed check,No,2,0
20,85.16,2012.59,Month-to-month,Mailed check,Fiber optic,2,1
33,36.54,1136.27,Month-to-month,Bank transfer,DSL,1,0
38,96.18,3947.08,One year,Mailed check,DSL,2,0
18,35.06,728.69,Month-to-month,Mailed check,No,3,0
19,53.43,1604.0,Two year,Electronic check,Fiber optic,0,1
17,118.07,1792.61,Two year,Bank transfer,Fiber optic,2,1
72,98.18,6945.16,Two year,Electronic check,DSL,1,1
54,72.44,3987.15,Month-to-month,Electronic check,No,1,0
61,46.49,2907.19,Month-to-month,Electronic check,No,0,0
59,56.77,3700.35,One year,Bank transfer,Fiber optic,1,0
70,71.83,4907.92,One year,Electronic check,DSL,1,0
7,70.94,659.45,One year,Mailed check,Fiber optic,1,0
64,67.73,4543.85,Month-to-month,Electronic check,Fiber optic,2,0
4,69.23,403.75,Month-to-month,Bank transfer,Fiber optic,0,1
34,64.64,2024.8,Month-to-month,Electronic check,No,1,1
43,33.95,1713.27,Month-to-month,Electronic check,Fiber optic,1,0
26,57.09,1705.55,Month-to-month,Mailed check,DSL,3,0
10,92.87,1036.58,Two year,Bank transfer,Fiber optic,3,1
14,35.79,537.87,Month-to-month,Electronic check,Fiber optic,3,1
60,65.26,3956.37,One year,Mailed check,DSL,1,0
23,49.51,1124.47,Two year,Credit card,DSL,1,0
22,72.78,1716.58,Month-to-month,Bank transfer,Fiber optic,2,0
67,60.28,4044.64,Month-to-month,Credit card,Fiber optic,0,0
10,106.93,916.61,One year,Mailed check,Fiber optic,0,1
66,82.66,5267.12,Month-to-month,Credit card,DSL,3,0
67,37.2,2357.36,Month-to-month,Electronic check,DSL,2,0
43,86.78,3771.55,Two year,Bank transfer,DSL,1,0
12,50.63,602.75,One year,Mailed check,Fiber optic,3,1
11,55.58,650.09,Two year,Electronic check,Fiber optic,0,0
20,77.85,1647.06,Two year,Credit card,Fiber optic,1,1
42,57.71,2310.75,Month-to-month,Bank transfer,Fiber optic,1,0
11,92.32,1279.35,One year,Electronic check,DSL,1,0
33,50.64,1622.84,One year,Electronic check,Fiber optic,1,1
8,54.53,358.19,One year,Bank transfer,No,0,0
39,53.59,2176.87,One year,Bank transfer,Fiber optic,2,0
1,55.86,0.0,One year,Electronic check,DSL,2,1
51,97.48,4829.17,Two year,Credit card,Fiber optic,2,1
4,85.72,519.47,Month-to-month,Bank transfer,DSL,0,1
14,112.75,1265.74,One year,Mailed check,DSL,0,1
12,126.69,1721.46,Month-to-month,Electronic check,DSL,2,1
60,44.23,2925.93,One year,Mailed check,DSL,2,0
3,71.76,148.78,One year,Mailed check,DSL,3,0
31,40.59,1310.97,One year,Electronic check,Fiber optic,0,0
43,50.56,2375.51,Month-to-month,Mailed check,DSL,1,0
37,54.25,1923.15,Month-to-month,Electronic check,Fiber optic,1,0
49,43.57,2291.18,Month-to-month,Electronic check,No,0,0
58,43.7,2413.96,Month-to-month,Electronic check,Fiber optic,1,0
28,66.39,1773.03,Month-to-month,Mailed check,Fiber optic,4,0
60,39.58,2231.04,Two year,Mailed check,Fiber optic,0,0
23,91.05,2155.9,Month-to-month,Mailed check,DSL,4,0
71,47.06,3549.42,Two year,Bank transfer,Fiber optic,2,0
36,130.0,4646.86,Month-to-month,Bank transfer,Fiber optic,1,1
53,58.72,2883.09,One year,Electronic check,Fiber optic,1,0
63,71.8,4328.54,One year,Credit card,Fiber optic,2,0
57,37.62,2215.17,One year,Bank transfer,No,2,0
62,112.65,7316.38,One year,Mailed check,Fiber optic,1,0
39,97.99,3892.38,One year,Electronic check,Fiber optic,1,0
3,77.42,162.63,Two year,Credit card,Fiber optic,1,0
35,36.33,1409.46,One year,Bank transfer,No,2,0
13,75.27,935.36,Month-to-month,Mailed check,Fiber optic,1,1
64,41.96,2617.62,Month-to-month,Electronic check,No,3,0
17,106.56,1638.98,One year,Electronic check,No,3,1
16,90.23,1697.2,Month-to-month,Mailed check,Fiber optic,1,1
18,72.39,845.89,Month-to-month,Electronic check,DSL,3,1
46,18.0,971.61,One year,Electronic check,DSL,2,0
41,45.41,1778.52,Month-to-month,Mailed check,Fiber optic,2,0
69,87.19,5942.53,One year,Electronic check,DSL,2,0
30,100.32,3314.28,One year,Mailed check,Fiber optic,1,0
20,97.73,1826.04,One year,Credit card,Fiber optic,0,1
3,30.2,0.0,One year,Credit card,No,2,0
0,77.54,0.0,Two year,Electronic check,No,5,1
27,95.39,2649.97,One year,Bank transfer,Fiber optic,2,0
67,28.54,1832.75,Two year,Credit card,Fiber optic,2,0
38,69.8,2369.2,Month-to-month,Bank transfer,DSL,1,0
65,76.85,4839.17,One year,Mailed check,Fiber optic,4,0
7,62.48,668.01,One year,Mailed check,DSL,1,0
6,23.7,155.64,Month-to-month,Electronic check,Fiber optic,2,0
60,61.86,3792.65,Month-to-month,Mailed check,No,0,0
7,61.82,385.67,Month-to-month,Credit card,Fiber optic,1,1
3,66.3,80.18,Month-to-month,Bank transfer,Fiber optic,1,0
29,55.91,1923.45,Two year,Mailed check,Fiber optic,4,0
67,58.92,3914.08,Month-to-month,Electronic check,Fiber optic,3,0
50,69.01,3370.56,Month-to-month,Credit card,Fiber optic,0,0
7,81.06,764.74,One year,Electronic check,Fiber optic,2,1
61,62.39,3675.72,Month-to-month,Bank transfer,DSL,1,0
61,59.76,3538.23,Month-to-month,Mailed check,Fiber optic,1,1
58,72.31,4195.76,One year,Mailed check,DSL,1,1
65,21.98,1428.56,Month-to-month,Electronic check,Fiber optic,1,0
17,81.93,1439.47,Month-to-month,Mailed check,Fiber optic,1,0
71,69.99,5345.5,One year,Bank transfer,DSL,3,0
23,70.99,1693.35,One year,Mailed check,Fiber optic,0,0
58,94.02,5025.02,One year,Electronic check,DSL,6,0
42,21.18,948.28,Month-to-month,Mailed check,DSL,4,0
56,20.65,1163.45,Month-to-month,Electronic check,DSL,1,0
45,76.85,3465.85,Two year,Mailed check,DSL,2,0
46,69.82,3256.09,One year,Credit card,No,2,0
44,74.25,3262.03,Month-to-month,Credit card,No,1,0
56,58.45,3263.55,Two year,Credit card,Fiber optic,3,0
53,86.61,4700.62,Month-to-month,Electronic check,Fiber optic,1,0
9,93.32,742.27,One year,Mailed check,Fiber optic,2,1
60,82.1,4755.39,One year,Electronic check,No,2,0
39,63.48,3019.97,Two year,Mailed check,Fiber optic,1,0
23,18.0,285.15,Two year,Bank transfer,DSL,4,0
37,89.23,3319.57,Month-to-month,Credit card,Fiber optic,3,0
70,100.54,6768.81,One year,Mailed check,No,2,0
62,86.11,5360.03,Month-to-month,Electronic check,DSL,2,0
60,48.01,2712.56,One year,Mailed check,Fiber optic,1,0
33,86.84,2786.24,One year,Mailed check,Fiber optic,0,0
57,91.51,5404.37,Month-to-month,Bank transfer,Fiber optic,0,0
28,108.97,3136.13,Month-to-month,Electronic check,Fiber optic,0,0
50,48.1,2507.18,Month-to-month,Bank transfer,Fiber optic,0,0
46,64.34,2640.76,Month-to-month,Mailed check,No,2,0
18,88.68,1926.91,Month-to-month,Bank transfer,Fiber optic,4,0
19,71.44,1142.73,Two year,Credit card,DSL,2,0
4,42.07,443.41,Month-to-month,Electronic check,Fiber optic,2,0
10,80.37,987.53,One year,Credit card,Fiber optic,1,0
31,84.47,2722.38,Two year,Electronic check,Fiber optic,2,0
34,72.2,2300.87,One year,Credit card,Fiber optic,0,0
12,75.49,933.16,Month-to-month,Mailed check,Fiber optic,1,0
30,63.53,1821.2,Two year,Bank transfer,Fiber optic,1,1
44,106.96,4711.33,One year,Credit card,DSL,0,0
16,47.48,714.75,One year,Bank transfer,DSL,0,1
24,55.32,960.66,Two year,Mailed check,DSL,1,0
26,70.27,2029.06,One year,Credit card,Fiber optic,3,1
36,91.97,3296.46,Month-to-month,Mailed check,DSL,0,1
26,32.57,759.44,Two year,Bank transfer,Fiber optic,2,0
53,37.24,1873.0,Month-to-month,Bank transfer,Fiber optic,2,0
23,19.06,502.83,Two year,Mailed check,Fiber optic,0,0
31,70.82,2034.46,Month-to-month,Electronic check,Fiber optic,4,1
27,42.04,729.21,Month-to-month,Mailed check,No,0,0
13,60.39,858.3,Month-to-month,Credit card,No,3,0
50,86.53,4420.16,Month-to-month,Bank transfer,DSL,1,0
17,53.96,881.41,Two year,Bank transfer,Fiber optic,1,1
21,75.78,1384.8,Month-to-month,Mailed check,DSL,1,0
57,62.52,3579.45,One year,Bank transfer,Fiber optic,1,0
69,86.8,5725.78,Month-to-month,Mailed check,Fiber optic,1,0
48,81.88,3745.25,Two year,Electronic check,DSL,1,0
66,52.7,3343.18,Month-to-month,Electronic check,DSL,2,0
62,65.78,4230.5,Month-to-month,Mailed check,Fiber optic,2,0
35,96.09,3298.01,Month-to-month,Bank transfer,Fiber optic,5,0
56,79.83,4390.11,Month-to-month,Mailed check,Fiber optic,2,0
23,35.08,1158.59,Two year,Electronic check,DSL,2,0
33,86.39,2914.33,Two year,Mailed check,DSL,3,0
39,42.88,1733.52,Month-to-month,Mailed check,Fiber optic,2,0
70,105.31,7305.35,Month-to-month,Bank transfer,Fiber optic,1,1
61,95.6,5724.4,Month-to-month,Mailed check,DSL,2,0
35,77.25,2310.1,Month-to-month,Mailed check,DSL,2,1
47,73.93,3649.12,One year,Electronic check,No,4,0
14,64.77,987.53,Month-to-month,Bank transfer,Fiber optic,2,0
58,86.96,5011.61,One year,Credit card,Fiber optic,1,1
40,60.73,2404.52,Two year,Bank transfer,Fiber optic,4,0
38,75.89,3016.3,Month-to-month,Mailed check,Fiber optic,2,0
55,91.8,4769.06,Month-to-month,Mailed check,Fiber optic,2,0
46,55.95,2467.74,Month-to-month,Mailed check,DSL,1,0
5,54.6,68.44,Month-to-month,Electronic check,DSL,2,1
21,40.14,1161.83,Month-to-month,Electronic check,No,2,0
12,43.39,678.28,One year,Credit card,No,1,0
53,24.29,890.89,Month-to-month,Credit card,Fiber optic,2,1
2,88.25,0.0,One year,Credit card,DSL,5,1
14,115.22,1589.3,Two year,Bank transfer,DSL,2,1
43,105.63,4457.19,Two year,Credit card,DSL,5,0
50,29.35,1229.01,One year,Mailed check,No,2,0
36,88.12,3522.43,Month-to-month,Mailed check,Fiber optic,0,0
62,105.55,6600.52,Month-to-month,Electronic check,Fiber optic,2,1
67,58.58,4010.31,Month-to-month,Electronic check,No,1,0
9,72.54,528.26,Two year,Bank transfer,DSL,2,0
69,19.8,1496.39,Two year,Electronic check,Fiber optic,1,0
44,76.67,3304.93,Month-to-month,Credit card,DSL,1,0
46,43.41,1945.9,Month-to-month,Credit card,DSL,4,0
6,74.99,559.93,Month-to-month,Mailed check,No,2,1
45,30.97,1100.43,Month-to-month,Bank transfer,No,1,0
52,83.57,4633.18,Two year,Electronic check,DSL,1,0
42,95.61,4048.57,Month-to-month,Mailed check,DSL,0,0
6,50.42,533.09,Month-to-month,Electronic check,Fiber optic,3,1
38,41.58,1386.35,Month-to-month,Electronic check,DSL,0,1
68,18.0,1057.83,Month-to-month,Electronic check,Fiber optic,0,0
52,63.34,3084.52,Month-to-month,Credit card,Fiber optic,0,0
10,55.46,599.66,Two year,Bank transfer,DSL,1,0
70,31.22,2197.59,Month-to-month,Credit card,DSL,1,0
69,81.33,5527.86,One year,Credit card,DSL,1,0
12,58.75,522.48,Month-to-month,Credit card,No,0,1
58,43.11,2272.2,Month-to-month,Credit card,Fiber optic,2,1
29,56.14,1619.21,Month-to-month,Electronic check,Fiber optic,1,0
43,96.78,4077.85,Month-to-month,Credit card,DSL,2,0
32,85.07,2598.94,Month-to-month,Bank transfer,Fiber optic,1,0
57,66.75,4083.19,Month-to-month,Electronic check,DSL,3,0
72,85.48,6139.57,Two year,Electronic check,DSL,0,0
58,40.98,2605.29,One year,Credit card,Fiber optic,4,0
67,70.81,4648.23,Two year,Credit card,Fiber optic,5,0
69,73.68,5128.19,Month-to-month,Mailed check,DSL,2,0
6,58.25,339.54,One year,Electronic check,DSL,2,0
18,80.89,1150.38,One year,Mailed check,No,0,1
52,50.49,2882.54,Month-to-month,Electronic check,DSL,3,0
43,82.75,3533.73,Month-to-month,Bank transfer,DSL,1,0
3,83.8,385.74,Month-to-month,Mailed check,Fiber optic,1,1
6,18.0,0.0,One year,Electronic check,DSL,2,0
37,99.76,3661.36,Month-to-month,Credit card,Fiber optic,3,0
44,18.0,635.97,Month-to-month,Credit card,Fiber optic,1,1
12,54.6,877.67,Two year,Credit card,Fiber optic,3,0
12,95.63,1203.66,Month-to-month,Credit card,Fiber optic,2,0
9,62.07,624.68,Two year,Electronic check,Fiber optic,2,0
41,33.35,1611.63,Two year,Credit card,Fiber optic,1,0
0,42.66,208.14,Two year,Credit card,DSL,0,0
41,95.67,4060.34,One year,Credit card,DSL,3,0
34,21.96,490.81,Month-to-month,Mailed check,Fiber optic,3,0
34,98.22,3214.42,One year,Mailed check,DSL,3,1
49,68.62,3181.8,One year,Credit card,DSL,2,0
38,40.19,1658.18,One year,Electronic check,DSL,0,0
53,55.42,2968.09,Month-to-month,Bank transfer,Fiber optic,1,0
55,44.57,2201.02,Month-to-month,Credit card,DSL,0,0
67,91.66,6106.95,Month-to-month,Credit card,Fiber optic,1,0
58,88.31,4853.08,Month-to-month,Bank transfer,Fiber optic,0,0
37,27.02,990.21,One year,Credit card,Fiber optic,0,0
35,59.91,1798.89,Two year,Credit card,DSL,0,0
17,48.42,918.34,One year,Credit card,Fiber optic,2,0
43,102.34,4468.56,One year,Electronic check,DSL,2,0
10,36.25,705.91,Month-to-month,Electronic check,No,1,0
67,110.11,7529.7,Month-to-month,Mailed check,Fiber optic,1,0
61,69.17,4143.1,Month-to-month,Mailed check,DSL,0,0
8,40.95,474.87,Month-to-month,Mailed check,Fiber optic,3,0
57,53.07,2773.3,Month-to-month,Electronic check,Fiber optic,2,0
8,49.96,226.43,Month-to-month,Bank transfer,Fiber optic,2,1
52,38.13,2042.96,Month-to-month,Electronic check,Fiber optic,1,0
6,72.37,45.74,One year,Credit card,Fiber optic,1,0
35,39.3,1368.88,Month-to-month,Bank transfer,Fiber optic,0,0
48,18.0,680.35,Month-to-month,Credit card,No,2,0
53,60.51,3225.16,Month-to-month,Electronic check,DSL,6,1
30,24.93,553.87,One year,Mailed check,Fiber optic,1,0
67,51.2,3506.5,One year,Credit card,Fiber optic,0,0
56,47.27,2650.73,Month-to-month,Mailed check,Fiber optic,1,0
15,48.22,975.36,Month-to-month,Bank transfer,Fiber optic,3,1
48,120.02,5762.37,Two year,Electronic check,Fiber optic,2,0
53,71.41,3646.39,One year,Credit card,Fiber optic,0,0
24,76.13,1782.78,One year,Mailed check,DSL,2,0
53,25.59,1114.31,Month-to-month,Credit card,DSL,1,0
65,53.65,3560.41,Two year,Mailed check,Fiber optic,2,0
59,75.38,4553.74,Two year,Electronic check,DSL,2,0
55,44.39,2885.73,Month-to-month,Bank transfer,DSL,1,0
46,92.7,4152.34,One year,Mailed check,DSL,0,0
19,39.93,710.52,Month-to-month,Mailed check,Fiber optic,1,1
58,62.84,3541.13,One year,Credit card,No,2,0
26,55.35,1477.25,Month-to-month,Mailed check,Fiber optic,3,1
38,74.11,2884.81,Month-to-month,Mailed check,DSL,2,1
22,53.99,1178.12,Two year,Bank transfer,Fiber optic,0,1
22,63.23,1586.55,Two year,Electronic check,DSL,0,0
11,64.1,594.01,Month-to-month,Credit card,No,1,0
70,51.64,3792.33,Two year,Electronic check,Fiber optic,3,0
10,82.13,918.2,Month-to-month,Electronic check,DSL,0,1
6,75.96,453.59,Month-to-month,Electronic check,Fiber optic,2,1
68,67.78,4552.67,Two year,Mailed check,DSL,1,1
40,59.24,2806.34,Month-to-month,Bank transfer,Fiber optic,1,0
31,89.91,2640.26,Month-to-month,Bank transfer,DSL,0,1
53,64.1,3451.15,One year,Credit card,No,2,0
27,62.33,1547.94,Month-to-month,Credit card,Fiber optic,3,0
9,72.62,974.97,Month-to-month,Mailed check,No,1,1
53,112.41,6117.61,Month-to-month,Credit card,No,2,0
12,36.49,315.79,One year,Electronic check,DSL,0,0
40,89.25,3662.12,Month-to-month,Electronic check,Fiber optic,1,0
69,22.67,1610.66,Month-to-month,Mailed check,No,0,0
68,75.43,5036.37,One year,Bank transfer,Fiber optic,1,0
26,109.38,2980.27,Month-to-month,Electronic check,DSL,3,0
56,82.22,4674.21,Month-to-month,Credit card,DSL,2,0
44,74.27,3306.51,One year,Mailed check,DSL,2,0
34,55.99,1896.07,One year,Mailed check,No,1,0
10,70.78,785.35,Month-to-month,Bank transfer,Fiber optic,1,0
27,63.7,1761.15,Two year,Mailed check,Fiber optic,3,0
47,50.35,2377.11,One year,Mailed check,No,2,0
72,62.75,4402.84,Month-to-month,Credit card,DSL,0,0
0,74.96,304.88,One year,Mailed check,Fiber optic,2,1
52,50.82,2453.54,One year,Electronic check,DSL,0,1
61,49.84,3117.39,One year,Bank transfer,DSL,0,0
69,35.99,2425.94,Month-to-month,Bank transfer,DSL,0,0
30,79.77,2709.76,One year,Electronic check,DSL,2,0
8,83.63,506.44,Two year,Credit card,Fiber optic,1,0
19,75.79,1307.69,One year,Mailed check,Fiber optic,3,0
62,94.13,5661.45,Two year,Electronic check,DSL,1,0
64,72.2,4678.81,One year,Electronic check,DSL,1,0
46,79.8,3423.66,Two year,Bank transfer,Fiber optic,2,1
8,77.6,534.63,Two year,Electronic check,DSL,4,1
8,67.71,154.27,Month-to-month,Mailed check,Fiber optic,2,0
34,56.73,1972.08,Month-to-month,Bank transfer,No,2,0
42,125.35,5174.82,One year,Credit card,Fiber optic,4,1
2,58.7,0.0,Month-to-month,Mailed check,Fiber optic,1,0
50,53.35,2863.06,One year,Credit card,Fiber optic,5,0
39,80.85,2917.78,One year,Mailed check,Fiber optic,2,0
0,76.3,143.45,Two year,Credit card,No,0,1
6,34.88,83.09,Month-to-month,Mailed check,No,0,0
33,98.07,3524.49,One year,Electronic check,Fiber optic,1,1
52,67.65,3652.47,Month-to-month,Bank transfer,Fiber optic,1,0
60,42.23,2352.15,Month-to-month,Credit card,Fiber optic,5,0
31,99.72,2926.23,Month-to-month,Credit card,DSL,0,0
21,85.64,1907.47,Month-to-month,Credit card,Fiber optic,0,1
70,38.39,2639.82,Month-to-month,Electronic check,Fiber optic,0,0
33,114.43,3745.69,One year,Bank transfer,Fiber optic,1,0
23,86.47,2217.81,One year,Bank transfer,Fiber optic,2,0
32,69.75,2097.08,Month-to-month,Bank transfer,DSL,7,1
0,109.76,16.43,Month-to-month,Electronic check,DSL,2,0
22,73.98,1799.45,Month-to-month,Electronic check,Fiber optic,0,0
37,69.3,2709.66,Two year,Bank transfer,No,0,0
67,53.49,3555.27,Two year,Credit card,No,1,0
53,84.55,4428.95,Month-to-month,Electronic check,DSL,2,0
57,81.92,4356.17,Month-to-month,Electronic check,DSL,1,0
39,70.37,2554.19,Month-to-month,Mailed check,Fiber optic,1,1
8,50.25,459.31,One year,Mailed check,Fiber optic,1,1
28,73.25,2026.13,Month-to-month,Credit card,Fiber optic,5,0
72,68.26,4927.85,Month-to-month,Credit card,Fiber optic,0,0
3,36.66,297.06,Month-to-month,Bank transfer,DSL,3,1
64,33.2,1911.38,Month-to-month,Credit card,Fiber optic,0,0
49,84.13,4079.8,Month-to-month,Electronic check,Fiber optic,0,0
20,18.0,393.97,Month-to-month,Credit card,Fiber optic,1,1
56,75.14,4080.83,One year,Mailed check,No,1,0
61,58.05,3798.59,Month-to-month,Mailed check,Fiber optic,0,0
3,102.71,471.66,Month-to-month,Electronic check,No,1,1
7,57.66,455.87,Month-to-month,Electronic check,Fiber optic,1,0
48,86.49,4474.34,Month-to-month,Electronic check,Fiber optic,2,1
72,60.08,4055.75,One year,Mailed check,No,1,0
1,72.84,71.45,Two year,Electronic check,No,4,0
48,88.42,4310.14,Month-to-month,Electronic check,No,1,1
9,58.44,361.31,Two year,Bank transfer,Fiber optic,1,0
47,94.91,4515.08,One year,Credit card,Fiber optic,1,1
45,45.16,1832.91,One year,Electronic check,DSL,4,1
6,77.36,588.49,Month-to-month,Bank transfer,Fiber optic,2,1
49,93.07,4750.64,Month-to-month,Credit card,No,3,0
65,86.5,5671.58,Month-to-month,Mailed check,Fiber optic,1,1
63,117.91,7094.9,Two year,Electronic check,Fiber optic,1,1
2,50.91,0.0,One year,Electronic check,No,0,0
17,35.52,705.51,Month-to-month,Credit card,No,2,0
17,45.14,771.22,Month-to-month,Mailed check,No,0,0
33,86.51,2369.94,Month-to-month,Electronic check,Fiber optic,3,0
10,82.45,1048.19,Month-to-month,Credit card,Fiber optic,1,1
62,72.56,4523.1,One year,Credit card,No,3,0
56,41.93,2200.43,Month-to-month,Bank transfer,DSL,0,0
59,89.17,5440.22,One year,Electronic check,DSL,0,0
14,39.38,429.4,One year,Electronic check,No,2,1
1,98.97,0.0,One year,Electronic check,Fiber optic,3,1
66,130.0,8644.5,Two year,Electronic check,Fiber optic,4,0
21,79.16,1982.97,Month-to-month,Bank transfer,DSL,0,0
47,84.58,4267.4,One year,Mailed check,Fiber optic,2,0
66,57.68,3871.53,One year,Credit card,No,3,1
2,24.74,132.72,Month-to-month,Electronic check,Fiber optic,2,0
0,54.93,142.47,Month-to-month,Bank transfer,Fiber optic,0,0
0,42.68,0.0,Month-to-month,Credit card,Fiber optic,2,1
11,33.82,488.02,Month-to-month,Electronic check,No,1,0
3,113.06,207.04,Month-to-month,Bank transfer,No,2,1
59,76.82,4589.8,Month-to-month,Bank transfer,Fiber optic,0,0
44,79.49,3456.71,One year,Electronic check,Fiber optic,1,0
71,62.27,4511.7,Month-to-month,Mailed check,DSL,1,0
58,65.68,3830.6,Month-to-month,Credit card,Fiber optic,0,0
70,94.11,6034.82,Month-to-month,Credit card,DSL,1,0
17,69.19,1208.46,Month-to-month,Mailed check,Fiber optic,2,1
21,83.27,1864.2,Two year,Electronic check,Fiber optic,0,0
62,65.1,4116.46,Month-to-month,Electronic check,DSL,2,0
17,61.45,1026.12,Month-to-month,Credit card,DSL,5,0
4,34.83,434.9,Month-to-month,Bank transfer,DSL,1,0
48,20.56,1042.75,Month-to-month,Mailed check,DSL,4,1
58,63.46,3759.52,One year,Electronic check,Fiber optic,1,0
70,71.41,5186.88,One year,Credit card,DSL,2,0
67,37.85,2601.0,Month-to-month,Mailed check,DSL,2,0
8,69.14,391.46,One year,Bank transfer,No,3,0
56,71.34,3556.35,Month-to-month,Credit card,DSL,0,0
61,18.0,1012.12,Two year,Bank transfer,No,0,0
50,47.12,2493.06,One year,Credit card,Fiber optic,1,0
59,80.18,4667.16,Month-to-month,Bank transfer,Fiber optic,2,0
61,79.68,5004.48,One year,Mailed check,Fiber optic,2,0
32,41.16,1343.83,Two year,Credit card,DSL,1,0
2,73.96,379.77,Month-to-month,Bank transfer,No,2,1
33,95.56,3100.35,Two year,Credit card,Fiber optic,2,0
14,89.43,1336.15,Two year,Electronic check,DSL,2,0
8,67.62,632.0,Month-to-month,Bank transfer,Fiber optic,2,1
9,58.3,794.99,One year,Bank transfer,Fiber optic,3,0
50,54.27,2406.12,One year,Electronic check,No,0,0
36,81.7,2858.52,Month-to-month,Mailed check,Fiber optic,2,0
39,74.88,3072.96,Month-to-month,Credit card,DSL,2,0
54,85.74,4907.96,Two year,Bank transfer,No,2,0
40,73.3,2975.09,One year,Credit card,No,4,0
45,90.47,4018.42,Month-to-month,Electronic check,Fiber optic,3,0
6,72.36,570.47,Month-to-month,Electronic check,DSL,1,0
62,89.62,5712.63,Month-to-month,Credit card,Fiber optic,3,1
32,91.77,2871.92,Two year,Mailed check,Fiber optic,1,1
11,49.89,608.21,One year,Credit card,DSL,1,0
59,24.8,1675.48,Month-to-month,Credit card,No,2,0
53,108.59,6095.41,Two year,Mailed check,Fiber optic,0,0
3,76.42,362.92,Two year,Credit card,No,1,0
14,27.14,387.87,Month-to-month,Credit card,Fiber optic,1,0
1,52.15,42.42,Month-to-month,Electronic check,DSL,1,0
19,89.3,1796.97,One year,Electronic check,No,2,0
7,63.01,420.24,Month-to-month,Electronic check,Fiber optic,1,0
